Title,Words,Sentences,Filtered_Words,POS_Tags,Entities,Sentiment,Lemmas
BBC blasted for 'incredible misinformation' about Brexit after broadcaster 'ignored' facts shared by expert,"['BBC', 'blasted', 'for', ""'incredible"", 'misinformation', ""'"", 'about', 'Brexit', 'after', 'broadcaster', ""'ignored"", ""'"", 'facts', 'shared', 'by', 'expert']","[""BBC blasted for 'incredible misinformation' about Brexit after broadcaster 'ignored' facts shared by expert""]","['BBC', 'blasted', ""'incredible"", 'misinformation', ""'"", 'Brexit', 'broadcaster', ""'ignored"", ""'"", 'facts', 'shared', 'expert']","[('BBC', 'NNP'), ('blasted', 'VBD'), (""'incredible"", 'JJ'), ('misinformation', 'NN'), (""'"", 'POS'), ('Brexit', 'NNP'), ('broadcaster', 'NN'), (""'ignored"", 'VBD'), (""'"", 'POS'), ('facts', 'NNS'), ('shared', 'VBD'), ('expert', 'NN')]","[('BBC', 'ORG'), ('Brexit', 'PERSON')]",0.15000000000000002,"['BBC', 'blast', 'for', ""'"", 'incredible', 'misinformation', ""'"", 'about', 'Brexit', 'after', 'broadcaster', ""'"", 'ignore', ""'"", 'fact', 'share', 'by', 'expert']"
"Letters, Jan 31: With Justin Trudeau, the M in PM stands for misinformation","['Letters', ',', 'Jan', '31', ':', 'With', 'Justin', 'Trudeau', ',', 'the', 'M', 'in', 'PM', 'stands', 'for', 'misinformation']","['Letters, Jan 31: With Justin Trudeau, the M in PM stands for misinformation']","['Letters', ',', 'Jan', '31', ':', 'Justin', 'Trudeau', ',', 'PM', 'stands', 'misinformation']","[('Letters', 'NNS'), (',', ','), ('Jan', 'NNP'), ('31', 'CD'), (':', ':'), ('Justin', 'NNP'), ('Trudeau', 'NNP'), (',', ','), ('PM', 'NNP'), ('stands', 'VBZ'), ('misinformation', 'NN')]","[('Jan 31', 'DATE'), ('Justin Trudeau', 'PERSON')]",0.0,"['letter', ',', 'Jan', '31', ':', 'with', 'Justin', 'Trudeau', ',', 'the', 'M', 'in', 'PM', 'stand', 'for', 'misinformation']"
"Letters, Jan 31: With Justin Trudeau, the M in PM stands for misinformation","['Letters', ',', 'Jan', '31', ':', 'With', 'Justin', 'Trudeau', ',', 'the', 'M', 'in', 'PM', 'stands', 'for', 'misinformation']","['Letters, Jan 31: With Justin Trudeau, the M in PM stands for misinformation']","['Letters', ',', 'Jan', '31', ':', 'Justin', 'Trudeau', ',', 'PM', 'stands', 'misinformation']","[('Letters', 'NNS'), (',', ','), ('Jan', 'NNP'), ('31', 'CD'), (':', ':'), ('Justin', 'NNP'), ('Trudeau', 'NNP'), (',', ','), ('PM', 'NNP'), ('stands', 'VBZ'), ('misinformation', 'NN')]","[('Jan 31', 'DATE'), ('Justin Trudeau', 'PERSON')]",0.0,"['letter', ',', 'Jan', '31', ':', 'with', 'Justin', 'Trudeau', ',', 'the', 'M', 'in', 'PM', 'stand', 'for', 'misinformation']"
"The Palisades Fire Conspiracy: A Tale Of Fear, Misinformation, And Reality","['The', 'Palisades', 'Fire', 'Conspiracy', ':', 'A', 'Tale', 'Of', 'Fear', ',', 'Misinformation', ',', 'And', 'Reality']","['The Palisades Fire Conspiracy: A Tale Of Fear, Misinformation, And Reality']","['Palisades', 'Fire', 'Conspiracy', ':', 'Tale', 'Fear', ',', 'Misinformation', ',', 'Reality']","[('Palisades', 'NNP'), ('Fire', 'NNP'), ('Conspiracy', 'NN'), (':', ':'), ('Tale', 'JJ'), ('Fear', 'NNP'), (',', ','), ('Misinformation', 'NNP'), (',', ','), ('Reality', 'NNP')]","[('The Palisades Fire Conspiracy:', 'ORG'), ('A Tale Of Fear, Misinformation', 'WORK_OF_ART')]",0.0,"['the', 'Palisades', 'Fire', 'Conspiracy', ':', 'a', 'Tale', 'of', 'Fear', ',', 'Misinformation', ',', 'and', 'reality']"
Delving into Key Points About Media Industry Security,"['Delving', 'into', 'Key', 'Points', 'About', 'Media', 'Industry', 'Security']",['Delving into Key Points About Media Industry Security'],"['Delving', 'Key', 'Points', 'Media', 'Industry', 'Security']","[('Delving', 'VBG'), ('Key', 'NNP'), ('Points', 'NNS'), ('Media', 'NNP'), ('Industry', 'NNP'), ('Security', 'NNP')]","[('Key Points', 'LOC')]",0.0,"['delve', 'into', 'Key', 'Points', 'about', 'Media', 'Industry', 'Security']"
How brand values and messaging can combat misinformation,"['How', 'brand', 'values', 'and', 'messaging', 'can', 'combat', 'misinformation']",['How brand values and messaging can combat misinformation'],"['brand', 'values', 'messaging', 'combat', 'misinformation']","[('brand', 'NN'), ('values', 'NNS'), ('messaging', 'VBG'), ('combat', 'NN'), ('misinformation', 'NN')]",[],0.0,"['how', 'brand', 'value', 'and', 'message', 'can', 'combat', 'misinformation']"
How misinformation threatens to smother the most innovative brands,"['How', 'misinformation', 'threatens', 'to', 'smother', 'the', 'most', 'innovative', 'brands']",['How misinformation threatens to smother the most innovative brands'],"['misinformation', 'threatens', 'smother', 'innovative', 'brands']","[('misinformation', 'NN'), ('threatens', 'VBZ'), ('smother', 'RB'), ('innovative', 'JJ'), ('brands', 'NNS')]",[],0.5,"['how', 'misinformation', 'threaten', 'to', 'smother', 'the', 'most', 'innovative', 'brand']"
Tibetan President in exile stresses preservation of Tibetan identity amidst Chinese misinformation,"['Tibetan', 'President', 'in', 'exile', 'stresses', 'preservation', 'of', 'Tibetan', 'identity', 'amidst', 'Chinese', 'misinformation']",['Tibetan President in exile stresses preservation of Tibetan identity amidst Chinese misinformation'],"['Tibetan', 'President', 'exile', 'stresses', 'preservation', 'Tibetan', 'identity', 'amidst', 'Chinese', 'misinformation']","[('Tibetan', 'NNP'), ('President', 'NNP'), ('exile', 'NN'), ('stresses', 'VBZ'), ('preservation', 'NN'), ('Tibetan', 'NNP'), ('identity', 'NN'), ('amidst', 'NN'), ('Chinese', 'JJ'), ('misinformation', 'NN')]","[('Tibetan', 'NORP'), ('Tibetan', 'NORP'), ('Chinese', 'NORP')]",0.0,"['tibetan', 'President', 'in', 'exile', 'stress', 'preservation', 'of', 'tibetan', 'identity', 'amidst', 'chinese', 'misinformation']"
US journalist lashes out at ‘mainstream reporters’ for remarks on her sweater: ‘Your misinformation attack failed’,"['US', 'journalist', 'lashes', 'out', 'at', '‘', 'mainstream', 'reporters', '’', 'for', 'remarks', 'on', 'her', 'sweater', ':', '‘', 'Your', 'misinformation', 'attack', 'failed', '’']",['US journalist lashes out at ‘mainstream reporters’ for remarks on her sweater: ‘Your misinformation attack failed’'],"['US', 'journalist', 'lashes', '‘', 'mainstream', 'reporters', '’', 'remarks', 'sweater', ':', '‘', 'misinformation', 'attack', 'failed', '’']","[('US', 'JJ'), ('journalist', 'NN'), ('lashes', 'NNS'), ('‘', 'VBP'), ('mainstream', 'JJ'), ('reporters', 'NNS'), ('’', 'VBP'), ('remarks', 'NNS'), ('sweater', 'NN'), (':', ':'), ('‘', 'JJ'), ('misinformation', 'NN'), ('attack', 'NN'), ('failed', 'VBD'), ('’', 'NN')]","[('US', 'GPE')]",-0.5,"['US', 'journalist', 'lash', 'out', 'at', ""'"", 'mainstream', 'reporter', ""'"", 'for', 'remark', 'on', 'her', 'sweater', ':', ""'"", 'your', 'misinformation', 'attack', 'fail', ""'""]"
"‘Doing this to ourselves’: misinformation threat is local, Australian Electoral Commission warns","['‘', 'Doing', 'this', 'to', 'ourselves', '’', ':', 'misinformation', 'threat', 'is', 'local', ',', 'Australian', 'Electoral', 'Commission', 'warns']","['‘Doing this to ourselves’: misinformation threat is local, Australian Electoral Commission warns']","['‘', '’', ':', 'misinformation', 'threat', 'local', ',', 'Australian', 'Electoral', 'Commission', 'warns']","[('‘', 'JJ'), ('’', 'NN'), (':', ':'), ('misinformation', 'NN'), ('threat', 'NN'), ('local', 'JJ'), (',', ','), ('Australian', 'JJ'), ('Electoral', 'NNP'), ('Commission', 'NNP'), ('warns', 'NNS')]","[('Australian Electoral Commission', 'ORG')]",0.0,"[""'"", 'do', 'this', 'to', 'ourselves', ""'"", ':', 'misinformation', 'threat', 'be', 'local', ',', 'Australian', 'Electoral', 'Commission', 'warn']"
Karoline Leavitt's stunning takedown of GMA's Michael Strahan earns her another nickname,"['Karoline', 'Leavitt', ""'s"", 'stunning', 'takedown', 'of', 'GMA', ""'s"", 'Michael', 'Strahan', 'earns', 'her', 'another', 'nickname']","[""Karoline Leavitt's stunning takedown of GMA's Michael Strahan earns her another nickname""]","['Karoline', 'Leavitt', ""'s"", 'stunning', 'takedown', 'GMA', ""'s"", 'Michael', 'Strahan', 'earns', 'another', 'nickname']","[('Karoline', 'NNP'), ('Leavitt', 'NNP'), (""'s"", 'POS'), ('stunning', 'VBG'), ('takedown', 'JJ'), ('GMA', 'NNP'), (""'s"", 'POS'), ('Michael', 'NNP'), ('Strahan', 'NNP'), ('earns', 'VBZ'), ('another', 'DT'), ('nickname', 'NN')]","[(""Karoline Leavitt's"", 'PERSON'), ('GMA', 'ORG'), ('Michael Strahan', 'PERSON')]",0.5,"['Karoline', 'Leavitt', ""'s"", 'stunning', 'takedown', 'of', 'GMA', ""'s"", 'Michael', 'Strahan', 'earn', 'she', 'another', 'nickname']"
From Fake News To Funded Agendas: How BBC Weaponizes ‘Journalism’ To Smear India’s Sovereignty,"['From', 'Fake', 'News', 'To', 'Funded', 'Agendas', ':', 'How', 'BBC', 'Weaponizes', '‘', 'Journalism', '’', 'To', 'Smear', 'India', '’', 's', 'Sovereignty']",['From Fake News To Funded Agendas: How BBC Weaponizes ‘Journalism’ To Smear India’s Sovereignty'],"['Fake', 'News', 'Funded', 'Agendas', ':', 'BBC', 'Weaponizes', '‘', 'Journalism', '’', 'Smear', 'India', '’', 'Sovereignty']","[('Fake', 'NNP'), ('News', 'NNP'), ('Funded', 'VBD'), ('Agendas', 'NNP'), (':', ':'), ('BBC', 'NNP'), ('Weaponizes', 'NNP'), ('‘', 'NNP'), ('Journalism', 'NNP'), ('’', 'NNP'), ('Smear', 'NNP'), ('India', 'NNP'), ('’', 'NNP'), ('Sovereignty', 'NNP')]",[],-0.5,"['from', 'Fake', 'News', 'to', 'fund', 'Agendas', ':', 'how', 'BBC', 'Weaponizes', ""'"", 'journalism', ""'"", 'to', 'Smear', 'India', '’s', 'sovereignty']"
Malaysia uses AI to combat online fake news,"['Malaysia', 'uses', 'AI', 'to', 'combat', 'online', 'fake', 'news']",['Malaysia uses AI to combat online fake news'],"['Malaysia', 'uses', 'AI', 'combat', 'online', 'fake', 'news']","[('Malaysia', 'NNP'), ('uses', 'VBZ'), ('AI', 'NNP'), ('combat', 'NN'), ('online', 'NN'), ('fake', 'VBP'), ('news', 'NN')]","[('Malaysia', 'GPE'), ('AI', 'ORG')]",-0.5,"['Malaysia', 'use', 'AI', 'to', 'combat', 'online', 'fake', 'news']"
Newspapers provide accurate and reliable information – KKJA,"['Newspapers', 'provide', 'accurate', 'and', 'reliable', 'information', '–', 'KKJA']",['Newspapers provide accurate and reliable information – KKJA'],"['Newspapers', 'provide', 'accurate', 'reliable', 'information', '–', 'KKJA']","[('Newspapers', 'NNS'), ('provide', 'VBP'), ('accurate', 'JJ'), ('reliable', 'JJ'), ('information', 'NN'), ('–', 'NNP'), ('KKJA', 'NNP')]",[],0.4000000000000001,"['newspaper', 'provide', 'accurate', 'and', 'reliable', 'information', '–', 'KKJA']"
Trump unveils new social media account to challenge fake news,"['Trump', 'unveils', 'new', 'social', 'media', 'account', 'to', 'challenge', 'fake', 'news']",['Trump unveils new social media account to challenge fake news'],"['Trump', 'unveils', 'new', 'social', 'media', 'account', 'challenge', 'fake', 'news']","[('Trump', 'NNP'), ('unveils', 'VBZ'), ('new', 'JJ'), ('social', 'JJ'), ('media', 'NNS'), ('account', 'VBP'), ('challenge', 'JJ'), ('fake', 'JJ'), ('news', 'NN')]","[('Trump', 'ORG')]",-0.1101010101010101,"['trump', 'unveil', 'new', 'social', 'medium', 'account', 'to', 'challenge', 'fake', 'news']"
"Fake News, Real Fraud: How Doctored Bulletins Tricked Victims into Downloading the 'MizMaxs' Scam App","['Fake', 'News', ',', 'Real', 'Fraud', ':', 'How', 'Doctored', 'Bulletins', 'Tricked', 'Victims', 'into', 'Downloading', 'the', ""'MizMaxs"", ""'"", 'Scam', 'App']","[""Fake News, Real Fraud: How Doctored Bulletins Tricked Victims into Downloading the 'MizMaxs' Scam App""]","['Fake', 'News', ',', 'Real', 'Fraud', ':', 'Doctored', 'Bulletins', 'Tricked', 'Victims', 'Downloading', ""'MizMaxs"", ""'"", 'Scam', 'App']","[('Fake', 'NNP'), ('News', 'NNP'), (',', ','), ('Real', 'NNP'), ('Fraud', 'NNP'), (':', ':'), ('Doctored', 'VBD'), ('Bulletins', 'NNP'), ('Tricked', 'NNP'), ('Victims', 'NNP'), ('Downloading', 'NNP'), (""'MizMaxs"", 'NNP'), (""'"", 'POS'), ('Scam', 'NNP'), ('App', 'NNP')]","[('Fake News', 'ORG')]",-0.15,"['Fake', 'News', ',', 'Real', 'Fraud', ':', 'how', 'Doctored', 'bulletin', 'trick', 'Victims', 'into', 'download', 'the', ""'"", 'MizMaxs', ""'"", 'Scam', 'App']"
Zakharova comments on fake news attributed to Russian and Azerbaijani officials,"['Zakharova', 'comments', 'on', 'fake', 'news', 'attributed', 'to', 'Russian', 'and', 'Azerbaijani', 'officials']",['Zakharova comments on fake news attributed to Russian and Azerbaijani officials'],"['Zakharova', 'comments', 'fake', 'news', 'attributed', 'Russian', 'Azerbaijani', 'officials']","[('Zakharova', 'NNP'), ('comments', 'NNS'), ('fake', 'VBP'), ('news', 'NN'), ('attributed', 'VBD'), ('Russian', 'JJ'), ('Azerbaijani', 'NNP'), ('officials', 'NNS')]","[('Zakharova', 'ORG'), ('Russian', 'NORP'), ('Azerbaijani', 'ORG')]",-0.25,"['Zakharova', 'comment', 'on', 'fake', 'news', 'attribute', 'to', 'russian', 'and', 'Azerbaijani', 'official']"
The Double-Edged Sword of Knowledge: Why we must protect truth in the age of misinformation,"['The', 'Double-Edged', 'Sword', 'of', 'Knowledge', ':', 'Why', 'we', 'must', 'protect', 'truth', 'in', 'the', 'age', 'of', 'misinformation']",['The Double-Edged Sword of Knowledge: Why we must protect truth in the age of misinformation'],"['Double-Edged', 'Sword', 'Knowledge', ':', 'must', 'protect', 'truth', 'age', 'misinformation']","[('Double-Edged', 'JJ'), ('Sword', 'NNP'), ('Knowledge', 'NNP'), (':', ':'), ('must', 'MD'), ('protect', 'VB'), ('truth', 'NN'), ('age', 'NN'), ('misinformation', 'NN')]",[],0.0,"['the', 'double', '-', 'edged', 'Sword', 'of', 'Knowledge', ':', 'why', 'we', 'must', 'protect', 'truth', 'in', 'the', 'age', 'of', 'misinformation']"
"Letter: Fake news you can trust, Part 3","['Letter', ':', 'Fake', 'news', 'you', 'can', 'trust', ',', 'Part', '3']","['Letter: Fake news you can trust, Part 3']","['Letter', ':', 'Fake', 'news', 'trust', ',', 'Part', '3']","[('Letter', 'NN'), (':', ':'), ('Fake', 'NNP'), ('news', 'NN'), ('trust', 'NN'), (',', ','), ('Part', 'NNP'), ('3', 'CD')]","[('3', 'CARDINAL')]",-0.5,"['letter', ':', 'fake', 'news', 'you', 'can', 'trust', ',', 'part', '3']"
Rome mayor slams fake news about Jubilee chaos,"['Rome', 'mayor', 'slams', 'fake', 'news', 'about', 'Jubilee', 'chaos']",['Rome mayor slams fake news about Jubilee chaos'],"['Rome', 'mayor', 'slams', 'fake', 'news', 'Jubilee', 'chaos']","[('Rome', 'NNP'), ('mayor', 'NN'), ('slams', 'NNS'), ('fake', 'VBP'), ('news', 'NN'), ('Jubilee', 'NNP'), ('chaos', 'NN')]","[('Rome', 'GPE'), ('Jubilee', 'PERSON')]",-0.5,"['Rome', 'mayor', 'slam', 'fake', 'news', 'about', 'Jubilee', 'chaos']"
HHS head blames 'instantaneous' disinformation for low trust: 'Can't go toe-to-toe with social media',"['HHS', 'head', 'blames', ""'instantaneous"", ""'"", 'disinformation', 'for', 'low', 'trust', ':', ""'Ca"", ""n't"", 'go', 'toe-to-toe', 'with', 'social', 'media', ""'""]","[""HHS head blames 'instantaneous' disinformation for low trust: 'Can't go toe-to-toe with social media'""]","['HHS', 'head', 'blames', ""'instantaneous"", ""'"", 'disinformation', 'low', 'trust', ':', ""'Ca"", ""n't"", 'go', 'toe-to-toe', 'social', 'media', ""'""]","[('HHS', 'NNP'), ('head', 'NN'), ('blames', 'RB'), (""'instantaneous"", 'JJ'), (""'"", 'POS'), ('disinformation', 'NN'), ('low', 'JJ'), ('trust', 'NN'), (':', ':'), (""'Ca"", 'VBP'), (""n't"", 'RB'), ('go', 'VB'), ('toe-to-toe', 'JJ'), ('social', 'JJ'), ('media', 'NNS'), (""'"", 'POS')]","[('HHS', 'ORG')]",0.016666666666666666,"['HHS', 'head', 'blame', ""'"", 'instantaneous', ""'"", 'disinformation', 'for', 'low', 'trust', ':', ""'"", 'can', 'not', 'go', 'toe', '-', 'to', '-', 'toe', 'with', 'social', 'medium', ""'""]"
Exclusive: German Official Under Fire For Claim Israel Stokes ‘disinformation’ Against UNRWA,"['Exclusive', ':', 'German', 'Official', 'Under', 'Fire', 'For', 'Claim', 'Israel', 'Stokes', '‘', 'disinformation', '’', 'Against', 'UNRWA']",['Exclusive: German Official Under Fire For Claim Israel Stokes ‘disinformation’ Against UNRWA'],"['Exclusive', ':', 'German', 'Official', 'Fire', 'Claim', 'Israel', 'Stokes', '‘', 'disinformation', '’', 'UNRWA']","[('Exclusive', 'NN'), (':', ':'), ('German', 'JJ'), ('Official', 'NNP'), ('Fire', 'NNP'), ('Claim', 'NNP'), ('Israel', 'NNP'), ('Stokes', 'NNP'), ('‘', 'NNP'), ('disinformation', 'NN'), ('’', 'NNP'), ('UNRWA', 'NNP')]","[('German', 'NORP'), ('UNRWA', 'ORG')]",0.0,"['exclusive', ':', 'german', 'Official', 'under', 'Fire', 'for', 'Claim', 'Israel', 'Stokes', ""'"", 'disinformation', ""'"", 'against', 'UNRWA']"
